"","cl1","cl2","cl3","cl4"
"ACTL6A",-0.00400140732255454,0.000677804293648305,0.00482261539681171,-0.0121547703854485
"ACTL6B",-0.00340712261877741,-0.00138037705257378,0.00417507086274675,0.00724694220130762
"ACTL7B",-0.00138702074772228,-0.00063501369311048,-0.00239118438658633,0.00250421133745692
"ACTN1",0.00452333143504567,-3.74566156779344e-05,0.0019756956474109,0.00319570892530204
"ACTN2",-0.00222817412676213,0.00536673077847444,0.00462696914212417,0.00645460607329629
"ACTN3",-0.00232275924663518,-0.000421593612907278,0.0022529595111316,4.66583631886734e-05
"ACTN4",-0.00106224884260163,0.00367009323917477,0.000290667661781385,0.00171236762992133
"ACTR10",0.00366063252168096,-0.0020591672394961,-0.00792209882062067,-0.00359021288461254
"ACTR1A",0.00195058869951633,-0.00200917788681593,0.000156524607573869,-0.00073229259994494
"ACTR1B",-0.0027591769743075,-0.000347129783465744,-0.00407547810823377,0.000328468195436591
"ACTR2",-0.000409090541811984,0.00471588457084624,-0.00202850314316511,-0.0079391121424641
"ACTR3",-0.000781633626041397,-0.00265093178376343,0.00114552749975302,-0.00767209174104285
"ACTR3B",-0.00754835916042936,0.000248584322816158,0.00300103483750547,-0.0105155013185846
"ACTR5",-0.00587948931214437,0.00560690636237949,0.00784632785551034,-0.0037243370956295
"ACTR6",0.00222926204498766,-0.00655908006730251,-0.00159854189599926,-0.013132438212603
"ACTR8",-0.00320020319629119,-0.000190431632645381,-7.08287329597302e-05,-0.00206689330982154
"ACVR1",0.00328605653067068,0.00373708516253042,-0.00079425312234686,-0.00885660730192238
"ACVR1B",-0.00804054856449031,0.011725785655546,-0.00879219953447621,0.00107484526362615
"ACVR2A",-0.000355008551775634,0.000252103574228323,-5.71713692308418e-05,0.00209573777204585
"ACVRL1",0.00229562739914413,0.00880708089715867,-0.0208598761924169,0.00411975291126863
"ACY1",-0.00399828165093165,-0.0038789495767285,-0.0103094203842175,-0.00585338800673127
"ACYP2",-0.00044138522676269,-0.00201276082940571,-0.0085033315218897,-0.00412809141660143
"ADA",0.0046891110364396,-0.00321872646198939,0.0110380478148914,-0.0113859530050521
"ADAM10",0.00416163926021477,-0.00584615219343984,-0.00119366368075972,-0.00556256416506543
"ADAM11",-0.00574581519725825,-0.000142712305588925,0.00447550250624743,0.00225293633695735
"ADAM12",0.0196408277078711,0.0031819249353351,0.0194479476970855,-0.00915960084683921
"ADAM15",-0.00161370458262569,-0.00973655782633398,-0.0012500061127708,-0.00651103445240835
"ADAM17",4.41365220326501e-05,0.00162920925436712,0.00820834697241205,-0.00647366625700148
"ADAM19",0.00721731996333651,0.0100039913886705,0.0075485352800764,-0.00169252409278887
"ADAM22",0.00053980187714591,0.00207580036752401,0.00667624082520032,0.00179829244599308
"ADAM23",0.00202552804655754,0.00912005621937025,0.000363784075802472,-0.00234323700174232
"ADAM28",0.0176320845184512,-0.0106003394278743,-0.016897139275633,0.00779696150458489
"ADAM30",-0.0010944599809007,0.00269561152376557,0.00475007224089219,0.00179766542200768
"ADAM8",0.0121625913760068,-0.00804401557924525,0.00906255295102305,0.00207847287320095
"ADAM9",0.00636747135956776,-0.00987504395062837,-0.00177273341584833,-0.0111858351551543
